Tiempo astronómico	Energía	Momento angular
4.98	-0.000111343	-0.00081759
4.99	-0.000111343	-0.00081759
5	-0.000111343	-0.00081759
5.01	-0.000111343	-0.00081759
5.02	-0.000111343	-0.00081759
5.03	-0.000111343	-0.00081759
5.04	-0.000111343	-0.00081759
5.05	-0.000111343	-0.00081759
5.06	-0.000111343	-0.00081759
5.07	-0.000111343	-0.00081759
5.08	-0.000111343	-0.00081759
5.09	-0.000111343	-0.00081759
5.1	-0.000111343	-0.00081759
5.11	-0.000111343	-0.00081759
5.12	-0.000111343	-0.00081759
5.13	-0.000111343	-0.00081759
5.14	-0.000111343	-0.00081759
5.15	-0.000111343	-0.00081759
5.16	-0.000111343	-0.00081759
5.17	-0.000111343	-0.00081759
5.18	-0.000111342	-0.00081759
5.19	-0.000111342	-0.00081759
5.2	-0.000111342	-0.00081759
5.21	-0.000111342	-0.00081759
5.22	-0.000111342	-0.00081759
5.23	-0.000111342	-0.00081759
5.24	-0.000111342	-0.00081759
5.25	-0.000111342	-0.00081759
5.26	-0.000111342	-0.00081759
5.27	-0.000111342	-0.00081759
5.28	-0.000111342	-0.00081759
5.29	-0.000111342	-0.00081759
5.3	-0.000111342	-0.00081759
5.31	-0.000111342	-0.00081759
5.32	-0.000111342	-0.00081759
5.33	-0.000111342	-0.00081759
5.34	-0.000111342	-0.00081759
5.35	-0.000111342	-0.00081759
5.36	-0.000111342	-0.00081759
5.37	-0.000111342	-0.00081759
5.38	-0.000111342	-0.00081759
5.39	-0.000111342	-0.00081759
5.4	-0.000111342	-0.00081759
5.41	-0.000111342	-0.00081759
5.42	-0.000111342	-0.00081759
5.43	-0.000111341	-0.00081759
5.44	-0.000111341	-0.00081759
5.45	-0.000111341	-0.00081759
5.46	-0.000111341	-0.00081759
5.47	-0.000111341	-0.00081759
5.48	-0.000111341	-0.00081759
5.49	-0.000111341	-0.00081759
5.5	-0.000111341	-0.00081759
5.51	-0.000111341	-0.00081759
5.52	-0.000111341	-0.00081759
5.53	-0.000111341	-0.00081759
5.54	-0.000111341	-0.00081759
5.55	-0.000111341	-0.00081759
5.56	-0.000111341	-0.00081759
5.57	-0.000111341	-0.00081759
5.58	-0.000111341	-0.00081759
5.59	-0.000111341	-0.00081759
5.6	-0.000111341	-0.00081759
5.61	-0.000111341	-0.00081759
5.62	-0.000111341	-0.00081759
